SEASON,TEAM_ID,TEAM_NAME,GP,W,L,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,TOV,OFF_RATING,DEF_RATING,NET_RATING,PACE,EFG_PCT,TS_PCT
2017-18,1610612765,Detroit Pistons,82,39,43,103.8,39.1,86.9,0.45,10.8,28.9,0.373,14.7,19.8,13.4,106.6,106.7,-0.1,96.75,0.512,0.543
2017-18,1610612744,Golden State Warriors,82,58,24,113.5,42.8,85.1,0.503,11.3,28.9,0.391,16.6,20.3,15.4,112.8,106.8,5.9,100.35,0.569,0.603
2017-18,1610612745,Houston Rockets,82,65,17,112.4,38.7,84.2,0.46,15.3,42.3,0.362,19.6,25.1,13.8,114.1,105.7,8.4,98.02,0.551,0.59
2017-18,1610612754,Indiana Pacers,82,48,34,105.6,40.8,86.4,0.472,9.0,24.5,0.369,14.9,19.2,13.3,108.5,107.3,1.3,96.84,0.525,0.557
2017-18,1610612746,LA Clippers,82,42,40,109.0,40.3,85.4,0.471,9.5,26.8,0.354,19.0,25.5,14.7,109.4,109.2,0.2,99.54,0.527,0.564
2017-18,1610612747,Los Angeles Lakers,82,35,47,108.1,40.7,88.4,0.461,10.0,29.1,0.345,16.6,23.3,15.8,106.0,107.3,-1.3,100.9,0.517,0.548
2017-18,1610612763,Memphis Grizzlies,82,22,60,99.3,36.7,82.8,0.444,9.2,26.2,0.352,16.6,21.1,15.0,103.6,110.4,-6.8,95.65,0.5,0.539
2017-18,1610612748,Miami Heat,82,44,38,103.4,38.8,85.3,0.455,11.0,30.6,0.36,14.7,19.5,14.4,106.2,105.8,0.4,96.1,0.52,0.551
2017-18,1610612749,Milwaukee Bucks,82,44,38,106.5,39.7,83.0,0.478,8.8,24.7,0.355,18.3,23.4,13.8,109.0,109.1,-0.2,97.03,0.531,0.571
2017-18,1610612750,Minnesota Timberwolves,82,47,35,109.5,41.0,86.1,0.476,8.0,22.5,0.357,19.4,24.1,12.5,112.5,110.2,2.3,96.75,0.523,0.566
2017-18,1610612740,New Orleans Pelicans,82,48,34,111.7,42.7,88.3,0.483,10.2,28.2,0.362,16.1,20.9,14.9,108.5,107.4,1.1,101.48,0.541,0.573
2017-18,1610612752,New York Knicks,82,29,53,104.5,40.7,87.7,0.464,8.2,23.3,0.352,14.9,19.0,14.7,106.3,109.7,-3.4,97.64,0.51,0.544
